col_0,REGION,DATE,DATE_parsed,YEAR,MONTH,DAY,PROFIL_TOTAL,PROFIL_ENT,PROFIL_PRO,PROFIL_RES,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,SUNHOUR,TEMPERATURE_NIGHT_C,TEMPERATURE_MEAN,HOLIDAYS,IS_WEEKEND,IS_LOCKDOWN_1,IS_LOCKDOWN_2,IS_LOCKDOWN_3,IS_LOCKDOWN_TT,IS_PUBLIC_HOLIDAYS
1,Hauts-de-France,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020,1,1,72350459,1644530,11340653,59365276,5,1,11,1,3,3,0,87,10,1033,13,5,2,-2,8,1,2,1,0,0,0,0,0,1
3,Hauts-de-France,2020-01-02T00:00:00.000Z,2020-01-02T00:00:00.000Z,2020,1,2,70637575,1750088,12941469,55946018,7,2,16,4,6,7,0,96,7,1030,80,7,6,1,4,4,5,1,1,0,0,0,0,0
5,Hauts-de-France,2020-01-03T00:00:00.000Z,2020-01-03T00:00:00.000Z,2020,1,3,67320966,1624102,12798646,52898218,10,5,25,10,10,7,2,90,9,1031,90,10,8,6,3,9,9,1,1,0,0,0,0,0
7,Hauts-de-France,2020-01-04T00:00:00.000Z,2020-01-04T00:00:00.000Z,2020,1,4,66727959,1156659,11863696,53707604,7,3,17,3,7,6,0,90,10,1035,44,7,4,0,7,3,5,1,0,1,0,0,1,0
9,Hauts-de-France,2020-01-05T00:00:00.000Z,2020-01-05T00:00:00.000Z,2020,1,5,68404574,1149735,11038234,56216605,7,4,8,4,7,6,0,90,10,1036,60,7,4,2,4,4,5,1,0,1,0,0,1,0
11,Hauts-de-France,2020-01-06T00:00:00.000Z,2020-01-06T00:00:00.000Z,2020,1,6,71370991,1667455,13357924,56345612,6,1,18,2,4,4,0,92,10,1033,25,6,3,-2,8,4,4,0,0,0,0,0,0,0
13,Hauts-de-France,2020-01-07T00:00:00.000Z,2020-01-07T00:00:00.000Z,2020,1,7,67119905,1728869,13379799,52011237,8,2,12,5,7,6,0,93,10,1029,38,8,5,2,9,6,6,0,0,0,0,0,0,0
15,Hauts-de-France,2020-01-08T00:00:00.000Z,2020-01-08T00:00:00.000Z,2020,1,8,62437509,1681767,12583640,48172102,13,7,18,11,12,12,0,97,9,1024,97,13,11,9,3,10,11,0,1,0,0,0,0,0
17,Hauts-de-France,2020-01-09T00:00:00.000Z,2020-01-09T00:00:00.000Z,2020,1,9,60657290,1647530,12539404,46470356,12,9,28,11,12,11,8,92,9,1022,99,12,10,9,3,11,11,0,0,0,0,0,0,0
19,Hauts-de-France,2020-01-10T00:00:00.000Z,2020-01-10T00:00:00.000Z,2020,1,10,62443390,1591808,12767864,48083718,8,3,25,8,8,5,2,86,8,1031,70,8,6,3,4,8,7,0,0,0,0,0,0,0
