col_0,REGION,DATE,DATE_parsed,YEAR,MONTH,YEAR_WEEK,DAY,WEEK_DAY,PROFIL_TOTAL,PROFIL_ENT,PROFIL_PRO,PROFIL_RES,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,SUNHOUR,TEMPERATURE_NIGHT_C,TEMPERATURE_MEAN,HOLIDAYS,IS_WEEKEND,IS_LOCKDOWN_1,IS_LOCKDOWN_2,IS_LOCKDOWN_3,IS_LOCKDOWN_TT,IS_PUBLIC_HOLIDAYS
0,Centre-Val de Loire,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020,1,1,1,3,39898906,1210860,5567384,33120662,8,2,8,3,7,7,0,95,7,1032,58,8,6,2,5,3,5,1,0,0,0,0,0,1
1,Hauts-de-France,2020-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,2020,1,1,1,3,72350459,1644530,11340653,59365276,5,1,11,1,3,3,0,87,10,1033,13,5,2,-2,8,1,2,1,0,0,0,0,0,1
2,Centre-Val de Loire,2020-01-02T00:00:00.000Z,2020-01-02T00:00:00.000Z,2020,1,1,2,4,38772899,1249783,6353982,31169134,9,6,11,7,8,8,6,96,7,1029,84,9,7,6,4,7,8,1,1,0,0,0,0,0
3,Hauts-de-France,2020-01-02T00:00:00.000Z,2020-01-02T00:00:00.000Z,2020,1,1,2,4,70637575,1750088,12941469,55946018,7,2,16,4,6,7,0,96,7,1030,80,7,6,1,4,4,5,1,1,0,0,0,0,0
4,Centre-Val de Loire,2020-01-03T00:00:00.000Z,2020-01-03T00:00:00.000Z,2020,1,1,3,5,36853477,1161110,6279961,29412406,11,7,23,9,11,10,1,92,10,1032,84,11,9,6,4,8,9,1,1,0,0,0,0,0
5,Hauts-de-France,2020-01-03T00:00:00.000Z,2020-01-03T00:00:00.000Z,2020,1,1,3,5,67320966,1624102,12798646,52898218,10,5,25,10,10,7,2,90,9,1031,90,10,8,6,3,9,9,1,1,0,0,0,0,0
6,Centre-Val de Loire,2020-01-04T00:00:00.000Z,2020-01-04T00:00:00.000Z,2020,1,1,4,6,36474281,812811,5819584,29841886,8,3,10,4,6,6,0,90,10,1038,27,8,6,2,9,5,5,1,0,1,0,0,1,0
7,Hauts-de-France,2020-01-04T00:00:00.000Z,2020-01-04T00:00:00.000Z,2020,1,1,4,6,66727959,1156659,11863696,53707604,7,3,17,3,7,6,0,90,10,1035,44,7,4,0,7,3,5,1,0,1,0,0,1,0
8,Centre-Val de Loire,2020-01-05T00:00:00.000Z,2020-01-05T00:00:00.000Z,2020,1,1,5,7,37480520,812597,5415696,31252227,8,4,9,5,8,6,0,86,10,1038,41,8,4,4,8,5,6,1,0,1,0,0,1,0
9,Hauts-de-France,2020-01-05T00:00:00.000Z,2020-01-05T00:00:00.000Z,2020,1,1,5,7,68404574,1149735,11038234,56216605,7,4,8,4,7,6,0,90,10,1036,60,7,4,2,4,4,5,1,0,1,0,0,1,0
